goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_percent
14,14.1,14.1.1,212,dominica,2018,center for ocean-atmospheric prediction studies (coaps),46.06
14,14.1,14.1.1,212,dominica,2019,center for ocean-atmospheric prediction studies (coaps),42.68
14,14.1,14.1.1,212,dominica,2020,center for ocean-atmospheric prediction studies (coaps),48.36
14,14.1,14.1.1,212,dominica,2021,center for ocean-atmospheric prediction studies (coaps),48.73
14,14.1,14.1.1,214,dominican republic,2017,center for ocean-atmospheric prediction studies (coaps),35.06
14,14.1,14.1.1,214,dominican republic,2018,center for ocean-atmospheric prediction studies (coaps),34.61
14,14.1,14.1.1,214,dominican republic,2019,center for ocean-atmospheric prediction studies (coaps),34.28
14,14.1,14.1.1,214,dominican republic,2020,center for ocean-atmospheric prediction studies (coaps),40.93
14,14.1,14.1.1,214,dominican republic,2021,center for ocean-atmospheric prediction studies (coaps),41.81
14,14.1,14.1.1,14,eastern africa,2022,center for ocean-atmospheric prediction studies (coaps),38.65
14,14.1,14.1.1,753,eastern and south-eastern asia,2017,center for ocean-atmospheric prediction studies (coaps),28.56
14,14.1,14.1.1,753,eastern and south-eastern asia,2018,center for ocean-atmospheric prediction studies (coaps),25.58
14,14.1,14.1.1,753,eastern and south-eastern asia,2019,center for ocean-atmospheric prediction studies (coaps),23.11
14,14.1,14.1.1,753,eastern and south-eastern asia,2020,center for ocean-atmospheric prediction studies (coaps),24.21
14,14.1,14.1.1,753,eastern and south-eastern asia,2021,center for ocean-atmospheric prediction studies (coaps),28.49
14,14.1,14.1.1,753,eastern and south-eastern asia,2022,center for ocean-atmospheric prediction studies (coaps),31.33
14,14.1,14.1.1,30,eastern asia,2017,center for ocean-atmospheric prediction studies (coaps),24.89
14,14.1,14.1.1,30,eastern asia,2018,center for ocean-atmospheric prediction studies (coaps),21.95
14,14.1,14.1.1,30,eastern asia,2019,center for ocean-atmospheric prediction studies (coaps),19.03
14,14.1,14.1.1,30,eastern asia,2020,center for ocean-atmospheric prediction studies (coaps),18.47
14,14.1,14.1.1,30,eastern asia,2021,center for ocean-atmospheric prediction studies (coaps),24.64
14,14.1,14.1.1,30,eastern asia,2022,center for ocean-atmospheric prediction studies (coaps),17.73
14,14.1,14.1.1,151,eastern europe,2017,center for ocean-atmospheric prediction studies (coaps),37.29
14,14.1,14.1.1,151,eastern europe,2018,center for ocean-atmospheric prediction studies (coaps),38.87
14,14.1,14.1.1,151,eastern europe,2019,center for ocean-atmospheric prediction studies (coaps),39.03
14,14.1,14.1.1,151,eastern europe,2020,center for ocean-atmospheric prediction studies (coaps),35.66
14,14.1,14.1.1,151,eastern europe,2021,center for ocean-atmospheric prediction studies (coaps),40.19
14,14.1,14.1.1,151,eastern europe,2022,center for ocean-atmospheric prediction studies (coaps),37.99
14,14.1,14.1.1,218,ecuador,2017,center for ocean-atmospheric prediction studies (coaps),0.71
14,14.1,14.1.1,218,ecuador,2018,center for ocean-atmospheric prediction studies (coaps),0.92
14,14.1,14.1.1,218,ecuador,2019,center for ocean-atmospheric prediction studies (coaps),1.19
14,14.1,14.1.1,218,ecuador,2020,center for ocean-atmospheric prediction studies (coaps),0.49
14,14.1,14.1.1,218,ecuador,2021,center for ocean-atmospheric prediction studies (coaps),0.16
14,14.1,14.1.1,818,egypt,2017,center for ocean-atmospheric prediction studies (coaps),7.3
14,14.1,14.1.1,818,egypt,2018,center for ocean-atmospheric prediction studies (coaps),16.39
14,14.1,14.1.1,818,egypt,2019,center for ocean-atmospheric prediction studies (coaps),19.83
14,14.1,14.1.1,818,egypt,2020,center for ocean-atmospheric prediction studies (coaps),15.37
14,14.1,14.1.1,818,egypt,2021,center for ocean-atmospheric prediction studies (coaps),15.09
14,14.1,14.1.1,222,el salvador,2017,center for ocean-atmospheric prediction studies (coaps),56.8
14,14.1,14.1.1,222,el salvador,2018,center for ocean-atmospheric prediction studies (coaps),59.53
14,14.1,14.1.1,222,el salvador,2019,center for ocean-atmospheric prediction studies (coaps),60.29
14,14.1,14.1.1,222,el salvador,2020,center for ocean-atmospheric prediction studies (coaps),52.97
14,14.1,14.1.1,222,el salvador,2021,center for ocean-atmospheric prediction studies (coaps),50.87
14,14.1,14.1.1,226,equatorial guinea,2017,center for ocean-atmospheric prediction studies (coaps),1.51
14,14.1,14.1.1,226,equatorial guinea,2018,center for ocean-atmospheric prediction studies (coaps),1.5
14,14.1,14.1.1,226,equatorial guinea,2019,center for ocean-atmospheric prediction studies (coaps),1.26
14,14.1,14.1.1,226,equatorial guinea,2020,center for ocean-atmospheric prediction studies (coaps),1.48
14,14.1,14.1.1,226,equatorial guinea,2021,center for ocean-atmospheric prediction studies (coaps),3.45
14,14.1,14.1.1,232,eritrea,2017,center for ocean-atmospheric prediction studies (coaps),11.2
14,14.1,14.1.1,232,eritrea,2018,center for ocean-atmospheric prediction studies (coaps),13.95
14,14.1,14.1.1,232,eritrea,2019,center for ocean-atmospheric prediction studies (coaps),4.09
14,14.1,14.1.1,232,eritrea,2020,center for ocean-atmospheric prediction studies (coaps),14.03
14,14.1,14.1.1,232,eritrea,2021,center for ocean-atmospheric prediction studies (coaps),4.9
14,14.1,14.1.1,233,estonia,2017,center for ocean-atmospheric prediction studies (coaps),5.22
14,14.1,14.1.1,233,estonia,2018,center for ocean-atmospheric prediction studies (coaps),5.0
14,14.1,14.1.1,233,estonia,2019,center for ocean-atmospheric prediction studies (coaps),13.79
14,14.1,14.1.1,233,estonia,2020,center for ocean-atmospheric prediction studies (coaps),2.01
14,14.1,14.1.1,233,estonia,2021,center for ocean-atmospheric prediction studies (coaps),17.11
14,14.1,14.1.1,150,europe,2017,center for ocean-atmospheric prediction studies (coaps),35.02
14,14.1,14.1.1,150,europe,2018,center for ocean-atmospheric prediction studies (coaps),37.37
14,14.1,14.1.1,150,europe,2019,center for ocean-atmospheric prediction studies (coaps),37.39
14,14.1,14.1.1,150,europe,2020,center for ocean-atmospheric prediction studies (coaps),33.5
14,14.1,14.1.1,150,europe,2021,center for ocean-atmospheric prediction studies (coaps),38.0
14,14.1,14.1.1,150,europe,2022,center for ocean-atmospheric prediction studies (coaps),31.84
14,14.1,14.1.1,513,europe and northern america,2017,center for ocean-atmospheric prediction studies (coaps),43.43
14,14.1,14.1.1,513,europe and northern america,2018,center for ocean-atmospheric prediction studies (coaps),42.96
