goal,target,indicator,country_code,country,year,source,beach_litter_in_beach_value
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),18.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),47.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),197.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),8.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),11.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),86.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),2203.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),4386.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),6.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),8.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),35416.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),48632.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),479.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),0.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),270.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),10.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),29.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),31.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),13.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),32.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),8.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),220.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),25.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),25.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),0.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),399.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),24.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),50225.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),3650.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),10.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),2515.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),88.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),5.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),15.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),112.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),38094.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),1.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),616.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),15.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),1.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),5.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),621.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),6.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),54.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),538.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),5.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),12.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),10.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),8.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),2993.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),0.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),53.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),64.0
14,14.1,14.1.1,24,angola,2018,center for ocean-atmospheric prediction studies (coaps),19.0
14,14.1,14.1.1,24,angola,2019,center for ocean-atmospheric prediction studies (coaps),53.0
14,14.1,14.1.1,24,angola,2019,center for ocean-atmospheric prediction studies (coaps),16.0
