"SCENARIO","Scenario","PLASTIC_LEAKAGE_TO_OCEAN","Variable","TIME","Time","Value","Flag Codes","Flags"
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2037","2037",8.008007,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2038","2038",8.149871,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2039","2039",8.293605,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2040","2040",8.448585,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2041","2041",8.602514,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2042","2042",8.756422,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2043","2043",8.911279,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2044","2044",9.067854,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2045","2045",9.223654,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2046","2046",9.378397,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2047","2047",9.531268,,
